"edad","grupo_edad","genero","comunidad_autonoma","nacido_espana","tamano_municipio","nivel_estudios","situacion_laboral","sector_laboral","ingresos_hogar","religion","lengua","ideologia","participacion_2023_raw","participacion_2023_final","voto_2023_raw","voto_2023_raw_otros","voto_2023_final","prob_voto_declarada","intencion_voto_raw","intencion_voto_raw_otros","intencion_voto_simpatia","intencion_voto_final","simpatia_partido","simpatia_partido_otros","nunca_pp","nunca_psoe","nunca_vox","nunca_sumar","nunca_podemos","nunca_salf","nunca_erc","nunca_junts","nunca_pnv","nunca_bildu","nunca_cc","nunca_bng","nunca_upn","nunca_ninguno","nunca_todos","prob_voto_pp","prob_voto_psoe","prob_voto_vox","prob_voto_sumar","prob_voto_podemos","prob_voto_salf","prob_voto_erc","prob_voto_junts","prob_voto_pnv","prob_voto_bildu","prob_voto_cc","prob_voto_bng","prob_voto_upn","lider_preferido","lider_preferido_otros","norma_social_voto","interes_politico","modelo_territorial","prob_voto_estimada","peso"
68,"+65","Hombre","Comunidad de Madrid","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Otro","Entre 1000 y 1999 euros",,"Castellano","4","Votó","Votó",,"","PSOE",8,"Regionales","","Regionales","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,,,,,,,,,,,"Pedro Sánchez","","Todos votan","Poco","Centralizado",0.947104215621948,0.314442317526848
65,"+65","Mujer","Comunidad Valenciana","Sí","Entre 10.000 y 49.999 habitantes","FP","Trabajo doméstico","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","4","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Poco probable",,,,,,,,,,"Gabriel Rufián","","Mayoría vota","Poco","Mantener",0.916356205940247,0.323000616792461
21,"18-24","Mujer","Cataluña","Sí","Entre 10.000 y 49.999 habitantes","FP","Parado","Público","Entre 2000 y 2999 euros","Ateo/agnóstico","Catalán","2","No pudo","Abstención",,"","Abstención",9,"ERC","","ERC","Regionales",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado","Nunca votaría",,,,,,"No marcado","No marcado",,"Algo probable",,"Poco probable","Poco probable","Algo probable","Muy probable",,,,,,,"Gabriel Rufián","","Mayoría vota","Bastante","Federal",0.803877711296082,2.21521249220684
70,"+65","Hombre","Castilla y León","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 2000 y 2999 euros","Católico no practicante","Castellano","5","Votó","Votó","PP","","PP",9,"PP","","PP","PP",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Algo probable",,,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Mantener",0.977024137973785,0.86146147461558
21,"18-24","Mujer","Andalucía","Sí","Entre 10.000 y 49.999 habitantes","Bachillerato","Estudiante","Otro","Entre 1000 y 1999 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Muy probable","Poco probable",,"Muy probable",,,,,,,,"Abascal","","Mayoría vota","Mucho","Centralizado",0.950000822544098,0.321908632230748
67,"+65","Hombre","Castilla y León","Sí","Menos de 2000 habitantes","Secundaria/ESO","Jubilado","Público","Entre 1000 y 1999 euros","Ateo/agnóstico","Castellano","3","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Algo probable",,,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Federal",0.977361857891083,0.32546365566612
27,"25-34","Hombre","Comunidad de Madrid","Sí","Entre 50.000 y 99.999 habitantes","FP","Trabaja","Privado","Entre 2000 y 2999 euros","Católico no practicante","Castellano","6","Votó","Votó","Blanco","","Blanco",8,"Blanco","","Blanco","Blanco",,"","No marcado","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable","Algo probable",,"Poco probable","Algo probable",,,,,,,,"Ninguno","","Mayoría vota","Bastante","Mantener",0.834197223186493,0.196623061229394
24,"18-24","Mujer","Comunidad Valenciana","Sí","Entre 50.000 y 99.999 habitantes","Universitaria","Estudiante","Público","Menos de 1000 euros","Católico practicante","Castellano","5","Votó","Abstención",,"","Abstención",5,"Regionales","","Regionales","PSOE",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable","Algo probable",,,,,,,,,,,"Abascal","","Todos votan","Poco","Federal",0.732793867588043,2.05319923519475
66,"+65","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","FP","Jubilado","Público","Entre 3000 y 5000 euros","Católico no practicante","Castellano","7","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,"Poco probable",,,,,,,,,,,"Ninguno","","Todos votan","Bastante","Mantener",0.971542716026306,1.55956127518226
26,"25-34","Mujer","Andalucía","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Trabajo doméstico","Público","Entre 3000 y 5000 euros","Evangélico/protestante","Castellano","7","No suele votar","Abstención",,"","Abstención",2,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Algo probable","Poco probable",,"Algo probable","Algo probable",,,,,,,,"Gabriel Rufián","","Pocos votan","Bastante","Mantener",0.489901334047318,4.04595351655443
67,"+65","Hombre","Castilla-La Mancha","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Jubilado","Público","Más de 5000 euros","Ateo/agnóstico","Castellano","5","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable",,,,,,,,,,,,"Feijóo","","Todos votan","Mucho","Mantener",0.980923056602478,1.78174382808477
18,"18-24","Hombre","Andalucía","Sí","Más de 500.000 habitantes","Bachillerato","Estudiante","Otro","Entre 2000 y 2999 euros","Católico no practicante","Castellano","4","Sin edad","Sin edad",,"","Sin edad",10,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Poco probable",,"Poco probable",,,,,,,,"Pedro Sánchez","","Mayoría vota","Nada","Mantener",0.632453203201294,0.789508519907657
53,"45-54","Mujer","País Vasco","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Trabaja","Privado","Entre 2000 y 2999 euros","Ateo/agnóstico","Vasco","6","No pudo","Abstención",,"","Abstención",7,"Bildu","","Bildu","Regionales",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,"No marcado","No marcado",,,,"No marcado","No marcado","Poco probable","Poco probable",,"Poco probable","Poco probable","Poco probable",,,"Algo probable","Muy probable",,,,"Ninguno","","Mitad vota","Nada","Federal",0.552162110805511,1.82204387021175
20,"18-24","Mujer","Andalucía","Sí","Entre 50.000 y 99.999 habitantes","Bachillerato","Parado","Otro","Entre 1000 y 1999 euros","Católico practicante","Castellano","6","Votó","Votó","PP","","PP",7,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Algo probable",,,"Poco probable",,,,,,,,"Feijóo","","Mayoría vota","Poco","Federal",0.889684498310089,0.372576458749283
18,"18-24","Mujer","Comunidad Valenciana","Sí","Menos de 2000 habitantes","Bachillerato","Estudiante","Otro","Menos de 1000 euros","Católico no practicante","Castellano","8","Sin edad","Sin edad",,"","Sin edad",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable",,,"Muy probable",,,,,,,,"Abascal","","Todos votan","Bastante","Federal",0.851914584636688,1.0601644000457
50,"45-54","Mujer","Castilla-La Mancha","Sí","Entre 2000 y 9.999 habitantes","FP","Trabaja","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","10 Extr. der.","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Muy probable",,"Muy probable","Algo probable","Algo probable","Poco probable",,,,,,,,"Feijóo","","Todos votan","Bastante","Centralizado",0.97206836938858,0.49648059887693
65,"+65","Mujer","Principado de Asturias","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Trabaja","Privado","Entre 3000 y 5000 euros","Católico no practicante","Castellano","1","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Poco probable","Poco probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Bastante","Mantener",0.980114877223969,1.09659451409282
20,"18-24","Mujer","Comunidad Valenciana","Sí","Más de 500.000 habitantes","Secundaria/ESO","Trabaja","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","2","Votó","Abstención",,"","Abstención",10,"Podemos","","Podemos","Podemos",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado",,"Poco probable",,"Muy probable","Muy probable",,,,,,,,,"Yolanda Díaz / Sumar","","Todos votan","Bastante","Federal",0.825010359287262,0.855891802227865
19,"18-24","Mujer","Andalucía","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Estudiante","Otro","Entre 2000 y 2999 euros","Ateo/agnóstico","Castellano","4","Sin edad","Sin edad",,"","Sin edad",7,"Otro","Pacma","Otro","Otros",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Algo probable",,"Poco probable","Poco probable","Poco probable",,,,,,,,"Gabriel Rufián","","Mayoría vota","Bastante","Centralizado",0.774800658226013,0.884908024244482
21,"18-24","Mujer","Comunidad Valenciana","Sí","Más de 500.000 habitantes","FP","Trabaja","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","10 Extr. der.","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,,,"Nunca votaría","No marcado","Muy probable","Algo probable","Muy probable","Poco probable","Poco probable",,,,,,,,,"Abascal","","Todos votan","Bastante","Federal",0.954975306987762,0.280174240493993
21,"18-24","Mujer","Comunidad de Madrid","Sí","Entre 50.000 y 99.999 habitantes","FP","Estudiante","Autónomo","Entre 2000 y 2999 euros","Católico no practicante","Castellano","7","No pudo","Abstención",,"","Abstención",6,"Nulo","","Nulo","Otros",,"","No marcado","No marcado","No marcado","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable","Algo probable","Muy probable","Poco probable",,,,,,,,,"Abascal","","Pocos votan","Bastante","Mantener",0.678203821182251,1.68406681636382
68,"+65","Mujer","Andalucía","Sí","Entre 2000 y 9.999 habitantes","Universitaria","Jubilado","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","3","Votó","Votó","Sumar","","Sumar",10,"Sumar","","Sumar","Sumar",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Algo probable",,"Muy probable","Algo probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Federal",0.978591561317444,1.94487880786259
23,"18-24","Mujer","Cataluña","Sí","Entre 10.000 y 49.999 habitantes","FP","Trabaja","Privado","Menos de 1000 euros","Ateo/agnóstico","Catalán","0 Extr. izq.","Votó","Votó","ERC","","ERC",10,"ERC","","ERC","Regionales",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,"No marcado","No marcado",,"Muy probable",,"Algo probable","Poco probable",,"Muy probable","Poco probable",,,,,,"Gabriel Rufián","","Ninguno vota","Poco","Mantener",0.806259214878082,0.336570765271588
69,"+65","Hombre","Comunidad Valenciana","Sí","Más de 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","5","Votó","Votó","PSOE","","PSOE",9,"Blanco","","Blanco","PP",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable","Poco probable","Poco probable",,"Poco probable",,,,,,,,"Ninguno","","Mayoría vota","Bastante","Mantener",0.814208626747131,0.323781702677676
65,"+65","Mujer","Cataluña","Sí","Entre 10.000 y 49.999 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","2","Votó","Votó","PSOE","","PSOE",9,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Poco probable","Poco probable",,"Poco probable","Poco probable",,,,,,"Pedro Sánchez","","Todos votan","Poco","Mantener",0.941800951957703,0.375241368447805
68,"+65","Mujer","Comunidad de Madrid","No","Más de 500.000 habitantes","Universitaria","Jubilado","Público","Menos de 1000 euros","Católico practicante","Castellano","10 Extr. der.","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,,,,,,,,,,,,"Otro","Isabel Ayuso","Todos votan","Poco","Federal",0.971777200698853,0.958998146908206
68,"+65","Hombre","Comunidad Valenciana","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Jubilado","Privado","Entre 1000 y 1999 euros","Católico practicante","Castellano","5","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,"Algo probable",,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Mantener",0.978343069553375,0.462210457134081
21,"18-24","Mujer","Comunidad de Madrid","Sí","Entre 50.000 y 99.999 habitantes","FP","Trabaja","Privado","Entre 3000 y 5000 euros","Musulmán","Castellano","3","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Algo probable","Muy probable",,,,,,,,,,,,"Gabriel Rufián","","Todos votan","Mucho","Centralizado",0.974611282348633,0.930860070292411
19,"18-24","Hombre","Cantabria","Sí","Entre 10.000 y 49.999 habitantes","Universitaria","Estudiante","Otro","Entre 3000 y 5000 euros","Evangélico/protestante","Castellano","10 Extr. der.","Sin edad","Sin edad",,"","Sin edad",10,"Vox","","Vox","Vox",,"","Nunca votaría","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,,"Algo probable",,,,,,,,,,,"Ninguno","","Todos votan","Mucho","Mantener",0.850385367870331,1.40177206131473
68,"+65","Hombre","Islas Baleares","Sí","Más de 500.000 habitantes","FP","Jubilado","Autónomo","Entre 1000 y 1999 euros","Ateo/agnóstico","Catalán","2","Votó","Votó","Sumar","","Sumar",9,"Podemos","","Podemos","Podemos",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Algo probable",,"Algo probable","Muy probable",,,,,,,,,"Pedro Sánchez","","Mayoría vota","Mucho","Federal",0.95614629983902,0.682948955947018
21,"18-24","Mujer","Galicia","No","Entre 50.000 y 99.999 habitantes","FP","Parado","Privado","Entre 1000 y 1999 euros","Evangélico/protestante","Castellano","5","No suele votar","Abstención",,"","Abstención",6,"Blanco","","Blanco","PP",,"","No marcado","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,"No marcado",,"Nunca votaría","No marcado","Algo probable","Algo probable","Poco probable","Algo probable","Algo probable","Algo probable",,,,,,"Poco probable",,"NS","","Mayoría vota","Bastante","Federal",0.637074649333954,0.920003240774168
66,"+65","Hombre","Comunidad de Madrid","Sí","Entre 50.000 y 99.999 habitantes","Universitaria","Jubilado","Público","Entre 2000 y 2999 euros","Católico practicante","Castellano","5","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Poco probable",,,,,,,,,,,"Feijóo","","Todos votan","Mucho","Centralizado",0.976388871669769,0.894577777042383
65,"+65","Mujer","Cataluña","Sí","Entre 2000 y 9.999 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 2000 y 2999 euros","Católico practicante","Castellano","2","Votó","Votó","ERC","","ERC",8,"ERC","","ERC","Regionales",,"","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,"No marcado","No marcado",,"Algo probable",,,"Poco probable","Poco probable","Muy probable","Algo probable",,,,,,"Pedro Sánchez","","Pocos votan","Bastante","Federal",0.935343205928802,0.354859487316996
46,"45-54","Mujer","Cataluña","Sí","Entre 50.000 y 99.999 habitantes","FP","Trabaja","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Catalán","4","Votó","Votó","Junts","","Junts",10,"Otro","AC","Otro","Otros",,"","Nunca votaría","Nunca votaría","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado","No marcado",,,,,,"No marcado","No marcado",,,,"Poco probable",,,"Algo probable","Muy probable",,,,,,"Ninguno","","Todos votan","Mucho","Federal",0.964927613735199,0.932235989758016
24,"18-24","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Universitaria","Parado","Privado","Entre 2000 y 2999 euros","Católico no practicante","Castellano","5","No pudo","Abstención",,"","Abstención",5,"PSOE","","PSOE","PSOE",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Muy probable",,"Muy probable","Poco probable","Muy probable",,,,,,,,"Ninguno","","Mitad vota","Poco","Federal",0.558135509490967,1.68237224323763
21,"18-24","Mujer","Comunidad de Madrid","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Trabaja","Privado","Entre 1000 y 1999 euros","Ateo/agnóstico","Castellano","5","No suele votar","Abstención",,"","Abstención",2,"No votaría","","No votaría","Abstención",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable",,,"Poco probable",,,,,,,,,"Pedro Sánchez","","Mitad vota","Poco","Mantener",0.309579938650131,0.831203862414289
21,"18-24","Hombre","Aragón","Sí","Más de 500.000 habitantes","Bachillerato","Estudiante","Privado","Entre 2000 y 2999 euros","Católico practicante","Castellano","7","Votó","Votó","PP","","PP",7,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Muy probable","Algo probable",,"Poco probable",,,,,,,,"Feijóo","","Todos votan","Bastante","Centralizado",0.946447789669037,0.635507581957293
33,"25-34","Hombre","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Universitaria","Trabaja","Privado","Entre 2000 y 2999 euros","Católico practicante","Castellano","10 Extr. der.","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable",,,"Algo probable",,,,,,,,"Abascal","","Todos votan","Bastante","Centralizado",0.971461713314056,0.881686713930738
68,"+65","Hombre","Castilla y León","Sí","Entre 50.000 y 99.999 habitantes","FP","Trabaja","Autónomo","Más de 5000 euros","Católico practicante","Castellano","9","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Poco probable","Poco probable",,"Poco probable",,,,,,,,"Feijóo","","Todos votan","Mucho","Mantener",0.974970698356628,1.36511445838743
65,"+65","Hombre","Islas Baleares","Sí","Entre 10.000 y 49.999 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 2000 y 2999 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable",,,"Poco probable",,,,,,,,"Abascal","","Pocos votan","Bastante","Centralizado",0.942709147930145,1.20519007521009
21,"18-24","Hombre","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Bachillerato","Estudiante","Privado","Entre 2000 y 2999 euros","Ateo/agnóstico","Castellano","7","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Algo probable","Muy probable","Poco probable",,,,,,,,,,"Yolanda Díaz / Sumar","","Mitad vota","Bastante","Federal",0.869011342525482,0.499519253173425
28,"25-34","Hombre","Andalucía","Sí","Entre 2000 y 9.999 habitantes","Universitaria","Trabaja","Privado","Más de 5000 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable","Poco probable",,"Poco probable",,,,,,,,"Abascal","","Mayoría vota","Bastante","Federal",0.936242699623108,1.75468314026395
18,"18-24","Hombre","Andalucía","Sí","Entre 100.000 y 500.000 habitantes","Bachillerato","Estudiante","Otro","Menos de 1000 euros","Católico no practicante","Castellano","5","Sin edad","Sin edad",,"","Sin edad",4,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Algo probable","Poco probable","Poco probable","Poco probable",,,,,,,,"Gabriel Rufián","","Mayoría vota","Bastante","Centralizado",0.75853031873703,0.93479694057105
71,"+65","Mujer","Comunidad Valenciana","No","Entre 100.000 y 500.000 habitantes","Universitaria","Jubilado","Autónomo","Entre 1000 y 1999 euros","Católico no practicante","Castellano","8","Votó","Votó","PP","","PP",8,"PP","","PP","PP",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable",,"Muy probable",,,,,,,,,,,"Feijóo","","Todos votan","Mucho","Mantener",0.986016571521759,0.425871233187012
19,"18-24","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Bachillerato","Trabaja","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","3","Sin edad","Sin edad",,"","Sin edad",8,"Otro","ERJ","Otro","Otros",,"","No marcado","No marcado","Nunca votaría","No marcado","No marcado","No marcado",,,,,,,,"No marcado","No marcado","Poco probable","Poco probable",,"Algo probable","Poco probable","Poco probable",,,,,,,,"Gabriel Rufián","","Todos votan","Bastante","Federal",0.820962727069855,1.48406767918704
54,"45-54","Mujer","Cataluña","Sí","Entre 100.000 y 500.000 habitantes","Universitaria","Trabaja","Público","Entre 2000 y 2999 euros","Ateo/agnóstico","Catalán","4","Votó","Votó","Junts","","Junts",10,"Otros","","Junts","Regionales","Junts","","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría","No marcado","No marcado",,,,,,"No marcado","No marcado",,"Poco probable",,"Poco probable","Poco probable",,"Poco probable","Algo probable",,,,,,"Irene Montero","","Mayoría vota","Bastante","Federal",0.935066401958466,0.499882267931986
23,"18-24","Mujer","Castilla y León","No","Entre 50.000 y 99.999 habitantes","Bachillerato","Trabaja","Privado","Menos de 1000 euros","Católico no practicante","Castellano","8","Votó","Votó","Vox","","Vox",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","No marcado","No marcado","No marcado",,,,,,,,"Nunca votaría","No marcado","Algo probable","Algo probable","Algo probable","Algo probable","Algo probable","Algo probable",,,,,,,,"Pedro Sánchez","","Mayoría vota","Bastante","Federal",0.901709794998169,0.608779288431614
46,"45-54","Mujer","Cantabria","Sí","Entre 100.000 y 500.000 habitantes","FP","Trabaja","Público","Entre 3000 y 5000 euros","Ateo/agnóstico","Castellano","9","Votó","Votó","Vox","","Vox",10,"Vox","","Vox","Vox",,"","No marcado","Nunca votaría","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable",,"Muy probable",,,"Poco probable",,,,,,,,"Abascal","","Mayoría vota","Bastante","Centralizado",0.954989075660706,1.186592584271
72,"+65","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","Universitaria","Jubilado","Privado","Entre 3000 y 5000 euros","Católico no practicante","Castellano","6","Votó","Votó","PP","","PP",10,"PP","","PP","PP",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado","Muy probable","Poco probable","Poco probable",,,,,,,,,,,"Feijóo","","Todos votan","Bastante","Mantener",0.977964401245117,1.55956127518226
67,"+65","Hombre","Comunidad Valenciana","Sí","Menos de 2000 habitantes","Secundaria/ESO","Jubilado","Privado","Entre 1000 y 1999 euros","Ateo/agnóstico","Catalán","0 Extr. izq.","Votó","Votó","Sumar","","Sumar",10,"Sumar-Compromis","","Sumar","Sumar",,"","Nunca votaría","Nunca votaría","Nunca votaría","No marcado","Nunca votaría","Nunca votaría",,,,,,,,"No marcado","No marcado",,,,"Muy probable",,,,,,,,,,"Yolanda Díaz / Sumar","","Todos votan","Bastante","Federal",0.957096695899963,0.508829405074135
74,"+65","Mujer","Comunidad de Madrid","Sí","Más de 500.000 habitantes","FP","Jubilado","Privado","Entre 1000 y 1999 euros","Católico no practicante","Castellano","4","Votó","Votó","PSOE","","PSOE",10,"PSOE","","PSOE","PSOE",,"","Nunca votaría","No marcado","Nunca votaría","No marcado","No marcado","Nunca votaría",,,,,,,,"No marcado","No marcado",,"Muy probable",,"Muy probable","Poco probable",,,,,,,,,"Pedro Sánchez","","Todos votan","Mucho","Centralizado",0.979723453521729,0.284981989317954
19,"18-24","Mujer","Región de Murcia","Sí","Menos de 2000 habitantes","Bachillerato","Parado","Autónomo","Menos de 1000 euros","Católico no practicante","Castellano","6","Sin edad","Sin edad",,"","Sin edad",10,"Vox","","Vox","Vox",,"","No marcado","No marcado","No marcado","Nunca votaría","Nunca votaría","No marcado",,,,,,,,"No marcado","No marcado","Algo probable","Poco probable","Algo probable",,,"Algo probable",,,,,,,,"Abascal","","Mayoría vota","Bastante","Federal",0.820753335952759,1.12387202020528
